course_code,course_time,course_instructors,course_enrollment,course_capacity
EECS 478,TuTh9:00AM-10:30AM,"['Hayes, John Patrick']",43,64
EECS 481,TuTh1:30PM-3:00PM,"['Dou, Jeremy', 'Haase, Aidan Joseph', 'Ramzan, Abdullah', 'Tabaddor, Arman', 'Weimer, Westley R']",156,154
EECS 481,TuTh1:30PM-3:00PM,"['Weimer, Westley R']",0,0
EECS 482,MoWe10:30AM-12:00PM,"['Aggarwal, Rithik Popat', 'Noble, Brian D']",317,360
EECS 483,MoWe1:30PM-3:00PMFr12:00PM-1:00PM,"['Apte, Ramchandra Kishor', 'Koneru, Sathvik', 'New, Max']",62,78
EECS 484,MoWe3:00PM-4:30PM,"['Chang, Caroleen Yueh-Lin', 'Chao, Jen-Chung', 'Honeyman, Peter', 'Prakash, Atul', 'Renton, Amber Elizabeth', 'Zhang, Tianqi']",141,150
EECS 484,MoWe4:30PM-6:00PM,"['Chang, Caroleen Yueh-Lin', 'Chao, Jen-Chung', 'Honeyman, Peter', 'Prakash, Atul', 'Renton, Amber Elizabeth', 'Zhang, Tianqi']",120,150
EECS 485,TBATBA,"['DeOrio, Andrew']",135,135
EECS 485,TuTh10:30AM-12:00PM,"['DeOrio, Andrew']",135,135
EECS 485,TuTh4:30PM-6:00PM,"['Almomani, Raed']",125,125
EECS 485,TuTh6:00PM-7:30PM,"['Almomani, Raed']",126,125
EECS 489,MoWe3:00PM-4:30PM,"['Chowdhury, Mosharaf']",132,120
EECS 489,TBATBA,"['Chowdhury, Mosharaf']",0,0
EECS 490,TuTh12:00PM-1:30PM,"['Omar, Cyrus']",96,140
EECS 491,MoWe1:30PM-3:00PM,"['Madhyastha, Harsha']",58,100
EECS 492,MoWe1:30PM-3:00PM,"['Fish, Benjamin', 'Garbacea, Georgeta-Cristina']",72,74
EECS 492,MoWe3:00PM-4:30PM,"['Garbacea, Georgeta-Cristina', 'Mower Provost, Emily']",125,126
EECS 493,TuTh10:30AM-12:00PM,"['Chan, Mabel', 'Guo, Anhong', 'Guzdial, Mark', 'Lu, Andrew', 'Wang, Xu']",126,126
EECS 493,TuTh4:30PM-6:00PM,"['Chan, Mabel', 'Guo, Anhong', 'Guzdial, Mark', 'Lu, Andrew', 'Wang, Xu']",145,144
EECS 493,TuTh9:00AM-10:30AM,"['Chan, Mabel', 'Guo, Anhong', 'Guzdial, Mark', 'Lu, Andrew', 'Wang, Xu']",129,130
EECS 494,MoWe11:30AM-1:30PM,"['Epstein, Brianna Diana', 'Yarger, Austin David', 'Zhou, Andrew']",69,74
EECS 495,MoWe12:00PM-1:30PM,"['Chesney, David R']",43,52
EECS 496,Fr2:30PM-4:30PM,"['Ackerman, Mark', 'Gerdov, Alan', 'Huffaker, Jordan']",401,400
EECS 497,MoWe11:30AM-1:30PM,"['Cho, Tim', 'Mo, Emily', 'Ringenberg, Jeff']",218,258
EECS 498,Mo4:00PM-6:50PM,"['Ali, Mustafa Javed', 'Landwehr, Carl']",5,15
EECS 498,MoWe10:30AM-12:00PM,"['Avestruz, Al-Thaddeus', 'Cui, Xiaofan']",24,35
EECS 498,MoWe10:30AM-12:00PM,"['Sample, Alanson', 'Su, Yang Hsi']",5,25
EECS 498,MoWe12:00PM-1:30PM,"['Das, Reetuparna']",42,60
EECS 498,MoWe1:30PM-3:00PM,"['Clarke, Christopher Shamar', 'Mars, Jason']",61,74
EECS 498,MoWe1:30PM-3:00PM,"['Qu, Qing', 'Ritchie, Alexander']",13,50
EECS 498,MoWe3:00PM-4:30PM,"['Berenson, Dmitry', 'Liu, Tianyi']",66,60
EECS 498,MoWe3:00PM-4:30PM,"['Berenson, Dmitry']",0,0
EECS 498,TBATBA,"['Noble, Brian D']",123,238
EECS 498,TuTh10:30AM-12:00PM,"['Bansal, Nikhil']",2,20
EECS 498,TuTh10:30AM-12:00PM,"['Manerkar, Yatin A']",1,25
EECS 498,TuTh1:30PM-3:00PM,"['Gryak, Jonathan', 'Jagadish, H V']",3,0
EECS 498,TuTh1:30PM-3:00PM,"['Saranurak, Thatchaphol']",6,25
EECS 498,TuTh3:00PM-4:30PM,"['Wang, Xinyu', 'Zhu, Yuanli']",9,25
EECS 501,TuTh1:30PM-3:00PM,"['Ying, Lei']",146,156
EECS 505,Fr1:00PM-2:30PMFr2:30PM-4:00PMFr2:30PM-4:00PM,"['Nadakuditi, Raj Rao']",201,195
EECS 505,Fr1:00PM-4:00PM,"['Nadakuditi, Raj Rao']",0,0
EECS 507,TuTh3:00PM-4:30PM,"['Zhang, Pei']",27,40
EECS 515,MoWe3:00PM-5:00PM,"['Gianchandani, Yogesh B']",6,24
EECS 515,TBATBA,"['Gianchandani, Yogesh B']",0,0
EECS 516,TuTh3:30PM-5:00PM,"['Liu, Zhongming']",35,50
EECS 517,MoWe9:00AM-10:30AM,"['Kushner, Mark']",18,28
EECS 520,MoWe12:00PM-1:30PM,"['Zhong, Zhaohui']",40,45
EECS 523,TuTh1:00PM-3:00PM,"['Kanicki, Jerzy', 'Lee, Eric Yeu-Jer']",30,65
EECS 523,TuTh1:00PM-3:00PM,"['Kanicki, Jerzy']",0,0
EECS 529,TuTh10:30AM-12:00PM,"['Bhattacharya, Pallab K']",15,23
EECS 530,TuTh1:00PM-2:30PM,"['Nasr, Abdelhamid', 'Sarabandi, Kamal']",21,30
EECS 530,TuTh1:00PM-2:30PM,"['Sarabandi, Kamal']",0,0
EECS 537,MoWeFr10:30AM-11:30AM,"['Cui, Liangqing', 'Norris, Theodore B']",28,40
EECS 537,MoWeFr10:30AM-11:30AM,"['Norris, Theodore B']",0,0
EECS 538,MoWe9:00AM-10:30AM,"['Winful, Herbert Graves']",27,32
EECS 540,TuTh9:00AM-10:30AM,"['Hanish, Josey', 'Kira, Mackillo']",16,35
EECS 540,TuTh9:00AM-10:30AM,"['Kira, Mackillo']",0,0
EECS 542,MoWe10:30AM-12:00PM,"['Fouhey, David Ford', 'Sui, Haochen']",53,1
EECS 544,MoWe12:30PM-2:00PM,"['Subramanian, Vijay Gautam']",26,40
EECS 545,MoWe10:30AM-12:00PM,"['Du, Zhe', 'Scott, Clayton D', 'Wang, Yu', 'Weitze, Jack', 'Zhu, Haonan']",136,200
EECS 545,MoWe10:30AM-12:00PM,"['Scott, Clayton D']",0,0
EECS 545,MoWe9:00AM-10:30AM,"['Du, Zhe', 'Hero III, Alfred O', 'Wang, Yu', 'Weitze, Jack', 'Zhu, Haonan']",131,200
