,title,link,class_name,type,credits,seat_capacity,filled_seats
54,CS 1331 Recitation - 93548 - CS 1331R - B04,/bprod/bwckschd.p_disp_detail_sched?term_in=202108&crn_in=93548,CS 1331,Recitation,0.000,50,47
55,CS 1331 Recitation - 93550 - CS 1331R - C01,/bprod/bwckschd.p_disp_detail_sched?term_in=202108&crn_in=93550,CS 1331,Recitation,0.000,50,50
56,CS 1331 Recitation - 93551 - CS 1331R - C02,/bprod/bwckschd.p_disp_detail_sched?term_in=202108&crn_in=93551,CS 1331,Recitation,0.000,50,2
57,CS 1331 Recitation - 93552 - CS 1331R - C03,/bprod/bwckschd.p_disp_detail_sched?term_in=202108&crn_in=93552,CS 1331,Recitation,0.000,50,34
58,CS 1331 Recitation - 93553 - CS 1331R - C04,/bprod/bwckschd.p_disp_detail_sched?term_in=202108&crn_in=93553,CS 1331,Recitation,0.000,50,8
59,CS 1331 Recitation - 93555 - CS 1331R - C06,/bprod/bwckschd.p_disp_detail_sched?term_in=202108&crn_in=93555,CS 1331,Recitation,0.000,50,33
60,CS 1331 Recitation - 93556 - CS 1331R - D01,/bprod/bwckschd.p_disp_detail_sched?term_in=202108&crn_in=93556,CS 1331,Recitation,0.000,50,45
61,CS 1331 Recitation - 93557 - CS 1331R - D02,/bprod/bwckschd.p_disp_detail_sched?term_in=202108&crn_in=93557,CS 1331,Recitation,0.000,50,7
62,CS 1331 Recitation - 93558 - CS 1331R - D03,/bprod/bwckschd.p_disp_detail_sched?term_in=202108&crn_in=93558,CS 1331,Recitation,0.000,50,18
63,CS 1331 Recitation - 93561 - CS 1331R - GR1,/bprod/bwckschd.p_disp_detail_sched?term_in=202108&crn_in=93561,CS 1331,Recitation,0.000,10,1
64,CS 1331 Recitation - 93562 - CS 1331R - O1R,/bprod/bwckschd.p_disp_detail_sched?term_in=202108&crn_in=93562,CS 1331,Recitation,0.000,230,183
65,Data Struct & Algorithms - 82295 - CS 1332 - A,/bprod/bwckschd.p_disp_detail_sched?term_in=202108&crn_in=82295,CS 1332,Lecture,3.000,206,206
66,Data Struct & Algorithms - 85473 - CS 1332 - B,/bprod/bwckschd.p_disp_detail_sched?term_in=202108&crn_in=85473,CS 1332,Lecture,3.000,200,200
67,Data Struct & Algorithms - 90770 - CS 1332 - C,/bprod/bwckschd.p_disp_detail_sched?term_in=202108&crn_in=90770,CS 1332,Lecture,3.000,150,151
68,Data Struct & Algorithms - 82787 - CS 1332 - GR,/bprod/bwckschd.p_disp_detail_sched?term_in=202108&crn_in=82787,CS 1332,Lecture,3.000,7,5
69,Data Struct & Algorithms - 89535 - CS 1332 - O1,/bprod/bwckschd.p_disp_detail_sched?term_in=202108&crn_in=89535,CS 1332,Lecture,3.000,206,205
70,CS 1332 Recitation - 93565 - CS 1332R - A01,/bprod/bwckschd.p_disp_detail_sched?term_in=202108&crn_in=93565,CS 1332,Recitation,0.000,50,50
71,CS 1332 Recitation - 93566 - CS 1332R - A02,/bprod/bwckschd.p_disp_detail_sched?term_in=202108&crn_in=93566,CS 1332,Recitation,0.000,50,50
72,CS 1332 Recitation - 93567 - CS 1332R - A03,/bprod/bwckschd.p_disp_detail_sched?term_in=202108&crn_in=93567,CS 1332,Recitation,0.000,50,38
73,CS 1332 Recitation - 93568 - CS 1332R - A04,/bprod/bwckschd.p_disp_detail_sched?term_in=202108&crn_in=93568,CS 1332,Recitation,0.000,50,42
74,CS 1332 Recitation - 93569 - CS 1332R - A05,/bprod/bwckschd.p_disp_detail_sched?term_in=202108&crn_in=93569,CS 1332,Recitation,0.000,50,14
75,CS 1332 Recitation - 93571 - CS 1332R - B01,/bprod/bwckschd.p_disp_detail_sched?term_in=202108&crn_in=93571,CS 1332,Recitation,0.000,50,50
76,CS 1332 Recitation - 93572 - CS 1332R - B02,/bprod/bwckschd.p_disp_detail_sched?term_in=202108&crn_in=93572,CS 1332,Recitation,0.000,50,50
77,CS 1332 Recitation - 93573 - CS 1332R - B03,/bprod/bwckschd.p_disp_detail_sched?term_in=202108&crn_in=93573,CS 1332,Recitation,0.000,50,50
78,CS 1332 Recitation - 93574 - CS 1332R - B04,/bprod/bwckschd.p_disp_detail_sched?term_in=202108&crn_in=93574,CS 1332,Recitation,0.000,50,33
79,CS 1332 Recitation - 93576 - CS 1332R - C01,/bprod/bwckschd.p_disp_detail_sched?term_in=202108&crn_in=93576,CS 1332,Recitation,0.000,50,50
80,CS 1332 Recitation - 93577 - CS 1332R - C02,/bprod/bwckschd.p_disp_detail_sched?term_in=202108&crn_in=93577,CS 1332,Recitation,0.000,50,42
81,CS 1332 Recitation - 93578 - CS 1332R - C03,/bprod/bwckschd.p_disp_detail_sched?term_in=202108&crn_in=93578,CS 1332,Recitation,0.000,50,50
82,CS 1332 Recitation - 93570 - CS 1332R - GR1,/bprod/bwckschd.p_disp_detail_sched?term_in=202108&crn_in=93570,CS 1332,Recitation,0.000,5,4
83,CS 1332 Recitation - 93580 - CS 1332R - OR1,/bprod/bwckschd.p_disp_detail_sched?term_in=202108&crn_in=93580,CS 1332,Recitation,0.000,206,165
84,Computing for Engineers - 81533 - CS 1371 - A,/bprod/bwckschd.p_disp_detail_sched?term_in=202108&crn_in=81533,CS 1371,Lecture,3.000,240,240
85,Computing for Engineers - 81566 - CS 1371 - B,/bprod/bwckschd.p_disp_detail_sched?term_in=202108&crn_in=81566,CS 1371,Lecture,3.000,200,197
86,Computing for Engineers - 86610 - CS 1371 - C,/bprod/bwckschd.p_disp_detail_sched?term_in=202108&crn_in=86610,CS 1371,Lecture,3.000,103,105
87,Computing for Engineers - 94860 - CS 1371 - D,/bprod/bwckschd.p_disp_detail_sched?term_in=202108&crn_in=94860,CS 1371,Lecture,3.000,150,150
88,Computing for Engineers - 93232 - CS 1371 - GR,/bprod/bwckschd.p_disp_detail_sched?term_in=202108&crn_in=93232,CS 1371,Lecture,3.000,5,0
89,Computing for Engineers - 81534 - CS 1371 - HP,/bprod/bwckschd.p_disp_detail_sched?term_in=202108&crn_in=81534,CS 1371,Lecture,3.000,35,35
90,CS 1371 Recitation - 93581 - CS 1371R - A01,/bprod/bwckschd.p_disp_detail_sched?term_in=202108&crn_in=93581,CS 1371,Recitation,0.000,50,50
91,CS 1371 Recitation - 93582 - CS 1371R - A02,/bprod/bwckschd.p_disp_detail_sched?term_in=202108&crn_in=93582,CS 1371,Recitation,0.000,50,50
92,CS 1371 Recitation - 93583 - CS 1371R - A03,/bprod/bwckschd.p_disp_detail_sched?term_in=202108&crn_in=93583,CS 1371,Recitation,0.000,50,50
93,CS 1371 Recitation - 93584 - CS 1371R - A04,/bprod/bwckschd.p_disp_detail_sched?term_in=202108&crn_in=93584,CS 1371,Recitation,0.000,50,50
94,CS 1371 Recitation - 93585 - CS 1371R - A05,/bprod/bwckschd.p_disp_detail_sched?term_in=202108&crn_in=93585,CS 1371,Recitation,0.000,50,12
95,CS 1371 Recitation - 93586 - CS 1371R - B01,/bprod/bwckschd.p_disp_detail_sched?term_in=202108&crn_in=93586,CS 1371,Recitation,0.000,50,50
96,CS 1371 Recitation - 93587 - CS 1371R - B02,/bprod/bwckschd.p_disp_detail_sched?term_in=202108&crn_in=93587,CS 1371,Recitation,0.000,50,50
97,CS 1371 Recitation - 93588 - CS 1371R - B03,/bprod/bwckschd.p_disp_detail_sched?term_in=202108&crn_in=93588,CS 1371,Recitation,0.000,50,46
98,CS 1371 Recitation - 93589 - CS 1371R - B04,/bprod/bwckschd.p_disp_detail_sched?term_in=202108&crn_in=93589,CS 1371,Recitation,0.000,50,7
99,CS 1371 Recitation - 93590 - CS 1371R - B05,/bprod/bwckschd.p_disp_detail_sched?term_in=202108&crn_in=93590,CS 1371,Recitation,0.000,50,15
100,CS 1371 Recitation - 93591 - CS 1371R - B06,/bprod/bwckschd.p_disp_detail_sched?term_in=202108&crn_in=93591,CS 1371,Recitation,0.000,50,9
101,CS 1371 Recitation - 93592 - CS 1371R - C01,/bprod/bwckschd.p_disp_detail_sched?term_in=202108&crn_in=93592,CS 1371,Recitation,0.000,50,40
102,CS 1371 Recitation - 93593 - CS 1371R - C02,/bprod/bwckschd.p_disp_detail_sched?term_in=202108&crn_in=93593,CS 1371,Recitation,0.000,50,39
103,CS 1371 Recitation - 93594 - CS 1371R - C03,/bprod/bwckschd.p_disp_detail_sched?term_in=202108&crn_in=93594,CS 1371,Recitation,0.000,50,8
104,CS 1371 Recitation - 93595 - CS 1371R - C04,/bprod/bwckschd.p_disp_detail_sched?term_in=202108&crn_in=93595,CS 1371,Recitation,0.000,50,4
105,CS 1371 Recitation - 93596 - CS 1371R - C05,/bprod/bwckschd.p_disp_detail_sched?term_in=202108&crn_in=93596,CS 1371,Recitation,0.000,50,3
106,CS 1371 Recitation - 94861 - CS 1371R - D01,/bprod/bwckschd.p_disp_detail_sched?term_in=202108&crn_in=94861,CS 1371,Recitation,0.000,50,50
107,CS 1371 Recitation - 94862 - CS 1371R - D02,/bprod/bwckschd.p_disp_detail_sched?term_in=202108&crn_in=94862,CS 1371,Recitation,0.000,50,21
108,CS 1371 Recitation - 94863 - CS 1371R - D03,/bprod/bwckschd.p_disp_detail_sched?term_in=202108&crn_in=94863,CS 1371,Recitation,0.000,50,50
